"exc","inh","sum"
0.01,0.05,6
0.058,0.05,149183
0.154,0.05,210502
0.106,0.05,205135
0.011,0.05,6
0.059,0.05,147933
0.107,0.05,205134
0.155,0.05,209833
0.012,0.05,6
0.06,0.05,149665
0.108,0.05,205032
0.156,0.05,209915
0.013,0.05,6
0.061,0.05,151466
0.109,0.05,205297
0.157,0.05,210007
0.014,0.05,6
0.062,0.05,162405
0.11,0.05,205294
0.158,0.05,210024
0.015,0.05,6
0.063,0.05,152998
0.111,0.05,205287
0.016,0.05,6
0.159,0.05,210137
0.064,0.05,156742
0.112,0.05,205463
0.017,0.05,6
0.16,0.05,210910
0.065,0.05,181397
0.018,0.05,6
0.113,0.05,205429
0.161,0.05,210945
0.066,0.05,180483
0.019,0.05,6
0.114,0.05,205621
0.162,0.05,211159
0.067,0.05,181871
0.02,0.05,6
0.115,0.05,205656
0.163,0.05,211160
0.021,0.05,6
0.068,0.05,181635
0.116,0.05,205620
0.164,0.05,210905
0.022,0.05,6
0.069,0.05,182646
0.117,0.05,205653
0.023,0.05,6
0.165,0.05,211198
0.07,0.05,183445
0.118,0.05,205700
0.024,0.05,6
0.166,0.05,212046
0.071,0.05,184291
0.119,0.05,205716
0.025,0.05,6
0.167,0.05,212182
0.072,0.05,184739
0.12,0.05,205730
0.026,0.05,6
0.168,0.05,211616
0.073,0.05,184996
0.027,0.05,6
0.121,0.05,205715
0.169,0.05,212588
0.074,0.05,185667
0.028,0.05,6
0.122,0.05,205814
0.17,0.05,212452
0.075,0.05,186269
0.029,0.05,6
0.123,0.05,205824
0.076,0.05,186950
0.171,0.05,212552
0.03,0.05,6
0.124,0.05,206131
0.077,0.05,187230
0.031,0.05,6
0.172,0.05,212744
0.125,0.05,206214
0.032,0.05,6
0.078,0.05,187245
0.173,0.05,212752
0.126,0.05,205969
0.033,0.05,6
0.079,0.05,187231
0.174,0.05,212752
0.127,0.05,206360
0.034,0.05,6
0.08,0.05,187440
0.175,0.05,212726
0.035,0.05,6
0.128,0.05,206286
0.081,0.05,187339
0.176,0.05,212768
0.036,0.05,6
0.129,0.05,206434
0.082,0.05,187403
0.177,0.05,212763
0.037,0.05,6
0.13,0.05,206798
0.083,0.05,187704
0.038,0.05,6
0.178,0.05,212754
0.131,0.05,206846
0.084,0.05,187509
0.039,0.05,6
0.179,0.05,212743
0.132,0.05,206544
0.085,0.05,201115
0.04,0.05,6
0.18,0.05,212735
0.086,0.05,187679
0.133,0.05,207288
0.041,0.05,6
0.181,0.05,212748
0.087,0.05,187424
0.042,0.05,6
0.134,0.05,207432
