"exc","inh","means","vars"
0.106,0.05,2.4231438831464414,6.370906243140979
0.01,0.05,NaN,NaN
0.154,0.05,3.9038361139201205,16.546271565908548
0.058,0.05,8.49534768484257,86.84648980898288
0.107,0.05,2.0611244301847873,11.39645915734966
0.011,0.05,NaN,NaN
0.155,0.05,3.8902342331858346,19.002651119113285
0.059,0.05,6.663501369890748,55.022300516702046
0.108,0.05,1.8213909688962682,4.217518758286284
0.012,0.05,NaN,NaN
0.06,0.05,4.776264626177634,55.484792223882806
0.156,0.05,2.799593725034395,16.37830693649359
0.109,0.05,1.6343136371022373,7.161539144052554
0.013,0.05,NaN,NaN
0.061,0.05,6.663508724446563,64.70704807239251
0.157,0.05,3.321858617487429,17.901089972483348
0.014,0.05,NaN,NaN
0.11,0.05,1.2919329295442683,4.8166844286447645
0.062,0.05,4.450249201912567,106.58824193918267
0.158,0.05,0.8079658128562823,2.7725977788682914
0.111,0.05,1.8096917983725702,8.921255019309248
0.015,0.05,NaN,NaN
0.063,0.05,6.504497064741052,76.63854820141798
0.159,0.05,1.3605948636000582,6.879643939767973
0.016,0.05,NaN,NaN
0.112,0.05,2.1242114023395207,11.690449023059749
0.064,0.05,4.496752293591072,99.42819852691173
0.16,0.05,1.7781231921006786,6.100287033386616
0.017,0.05,NaN,NaN
0.113,0.05,2.0636365178037686,11.038109993677322
0.065,0.05,2.657821595644874,42.51270339730697
0.161,0.05,2.0829875261416326,6.613498786347783
0.018,0.05,NaN,NaN
0.114,0.05,1.4658489040324119,4.240641245079523
0.066,0.05,3.641276330898034,132.52929875930474
0.162,0.05,1.0444029997685744,5.140717405350524
0.019,0.05,NaN,NaN
0.115,0.05,1.5314874533437188,3.9417854040272475
0.067,0.05,3.3201489487659166,114.43327691261396
0.163,0.05,1.3030461298753346,5.407396613896284
0.02,0.05,NaN,NaN
0.116,0.05,2.325699758529187,6.7796277759535455
0.068,0.05,4.929119245042222,95.22685306114133
0.164,0.05,1.8829044854250796,6.642262951544674
0.021,0.05,NaN,NaN
0.117,0.05,2.0118612441714676,6.121946863564607
0.069,0.05,5.047196204177769,73.82701237775036
0.165,0.05,1.5843053264538813,7.664817722680842
0.022,0.05,NaN,NaN
0.118,0.05,3.182334039636354,18.660998816530157
0.07,0.05,5.962393098197332,107.0994510688079
0.166,0.05,0.7115914126047268,2.044028842728026
0.023,0.05,NaN,NaN
0.119,0.05,2.6562974882269357,21.550041299729184
0.071,0.05,6.203743696914958,89.30267542789875
0.167,0.05,0.6968713986291696,1.5397966456810257
0.024,0.05,NaN,NaN
0.12,0.05,2.7685757481620628,19.135410199949213
0.072,0.05,6.2303923998701,55.936721175503486
0.168,0.05,0.9038730404231976,2.025466407198754
0.025,0.05,NaN,NaN
0.121,0.05,3.3765615870983128,30.58659543119667
0.073,0.05,6.2519652479829535,84.38192116162398
0.169,0.05,0.48011169414441496,0.979057009002888
0.026,0.05,NaN,NaN
0.122,0.05,1.792637997136468,7.34830291766583
0.074,0.05,6.1737012993546685,103.75184237086705
0.17,0.05,0.5314515086904272,1.1268933790094855
0.027,0.05,NaN,NaN
0.123,0.05,3.356182239906839,27.335542392941232
0.075,0.05,6.714050530633427,74.81396242712088
