"exc","inh","means","vars"
0.01,0.05,NaN,NaN
0.06,0.05,6.305337876803039,44.09888701787661
0.11,0.05,0.6519801667297312,4.054412790509288
0.16,0.05,2.84909443704118,20.145557195267738
0.015,0.05,NaN,NaN
0.065,0.05,2.573199159188107,91.57599326713527
0.115,0.05,0.9281314502945622,1.658997705749408
0.165,0.05,0.148352882061532,0.8910343752970481
0.02,0.05,NaN,NaN
0.07,0.05,3.8338297351633703,117.68693720540567
0.12,0.05,1.0239832846006518,9.436908745114353
0.17,0.05,0.09557179266093037,1.0117678077630863
0.075,0.05,4.377265111329323,80.3234607932477
0.025,0.05,NaN,NaN
0.125,0.05,1.0655103137902382,5.023473139486048
0.175,0.05,0.10856907345055401,0.8263719353388624
0.03,0.05,NaN,NaN
0.08,0.05,4.442345524222027,136.09426601250445
0.13,0.05,1.4058282988252844,12.560841043529775
0.18,0.05,0.09794767858047797,0.9862936450225652
0.035,0.05,NaN,NaN
0.085,0.05,4.374674170266591,78.31462082283387
0.135,0.05,1.4945418667410522,10.240822744754846
0.185,0.05,0.10533330738381899,0.5302477331431911
0.04,0.05,NaN,NaN
0.09,0.05,0.8073536870316235,5.001905137226903
0.14,0.05,0.7237421515739539,4.191265241863506
0.19,0.05,0.09901448229146928,0.6004699513006954
0.045,0.05,NaN,NaN
0.095,0.05,2.7256399044771764,42.71631937270756
0.145,0.05,2.330802505580382,20.89149421007599
0.195,0.05,0.24599384629355822,1.811790274118247
0.05,0.05,0.29547620511763034,0.028421432632420675
0.1,0.05,0.7899777432784916,4.037698186273187
0.15,0.05,1.0695755253080208,11.263160637003208
0.2,0.05,0.14263539283379909,0.7914953599013382
0.055,0.05,15.295354348963482,120.67371070258785
0.105,0.05,0.5727767189153683,3.680736424026677
0.155,0.05,1.5466631919845673,19.711537083874955
0.01,0.055,NaN,NaN
0.06,0.055,4.039595626436248,29.154056575958894
0.16,0.055,1.0748834033614276,13.092856794457047
0.11,0.055,0.6932462687719612,3.9321771969070527
0.015,0.055,NaN,NaN
0.065,0.055,2.381118462754261,40.77978453861598
0.115,0.055,1.538585857752238,5.632525932150498
0.165,0.055,0.1102589078014162,0.5487732530732399
0.02,0.055,NaN,NaN
0.07,0.055,4.284885054572734,151.34917728834355
0.12,0.055,1.0820283489201297,10.591587779355704
0.17,0.055,0.09735037888606855,0.8404169412912186
0.025,0.055,NaN,NaN
0.075,0.055,4.462429538508388,137.728578901845
0.125,0.055,1.4321516012169568,9.271553382776437
0.175,0.055,0.10856907345055401,0.8263719353388624
0.03,0.055,NaN,NaN
0.08,0.055,4.430636075001576,80.18191944691092
0.13,0.055,1.1083902353284198,7.6972497496475185
0.18,0.055,0.09570306086073076,1.0214965673476328
0.035,0.055,NaN,NaN
0.085,0.055,3.8778551822128233,45.716946996661356
0.135,0.055,1.6365765100857392,14.246218260710476
0.185,0.055,0.27358466080158794,0.5058299146980011
0.04,0.055,NaN,NaN
0.09,0.055,4.11704236221842,49.46412066936262
0.14,0.055,3.144397522732381,33.90175579280853
0.19,0.055,0.09901448229146928,0.6004699513006954
0.045,0.055,NaN,NaN
0.095,0.055,1.2014295373673305,3.145211114134558
0.145,0.055,0.8739933895446671,6.552757305676318
0.195,0.055,0.3252861941021766,3.592368802772111
0.05,0.055,0.10019372544878714,0.0037538934381350915
0.1,0.055,1.003659182793779,5.941490414077124
0.15,0.055,3.2635584716160326,44.438175940804015
0.2,0.055,0.3228774462672192,3.462852910456465
0.055,0.055,0.36535502903262523,0.07464042135378045
0.105,0.055,0.6740968383943772,8.563910455563088
0.155,0.055,2.907048020031677,32.88208597393001
0.06,0.06,5.708576368840284,20.43520492638469
0.01,0.06,NaN,NaN
0.16,0.06,0.28095886942922976,2.4238003582005665
0.11,0.06,0.8820030300011077,2.222770157545415
0.015,0.06,NaN,NaN
0.065,0.06,2.257857779239874,25.362399546103937
0.115,0.06,1.157190454930331,8.210041624870131
0.165,0.06,0.19063301964624943,0.679219078279287
0.02,0.06,NaN,NaN
0.07,0.06,2.907193179392576,78.81092455661262
0.12,0.06,1.8801004679390942,9.070339926897118
0.17,0.06,0.10348363939375173,0.6257150140782066
