"exc","inh","sum"
0.01,0.05,6
0.058,0.05,21030
0.154,0.05,32810
0.106,0.05,29684
0.011,0.05,6
0.059,0.05,21042
0.155,0.05,32825
0.107,0.05,29031
0.012,0.05,6
0.06,0.05,21168
0.156,0.05,32843
0.108,0.05,29339
0.013,0.05,6
0.061,0.05,21252
0.157,0.05,32846
0.109,0.05,29220
0.014,0.05,6
0.062,0.05,21083
0.158,0.05,32893
0.11,0.05,30156
0.015,0.05,6
0.063,0.05,21376
0.159,0.05,32930
0.111,0.05,29437
0.016,0.05,6
0.064,0.05,22424
0.16,0.05,32968
0.112,0.05,29798
0.017,0.05,6
0.065,0.05,24778
0.161,0.05,33073
0.113,0.05,29652
0.018,0.05,6
0.066,0.05,25300
0.162,0.05,33313
0.114,0.05,29737
0.019,0.05,6
0.067,0.05,25595
0.163,0.05,33563
0.02,0.05,6
0.115,0.05,29822
0.068,0.05,25782
0.164,0.05,33702
0.021,0.05,6
0.116,0.05,29971
0.069,0.05,26023
0.165,0.05,33765
0.022,0.05,6
0.117,0.05,30092
0.07,0.05,26176
0.166,0.05,33845
0.023,0.05,6
0.118,0.05,30274
0.071,0.05,26355
0.167,0.05,33905
0.024,0.05,6
0.119,0.05,30376
0.072,0.05,26484
0.168,0.05,33905
0.025,0.05,6
0.12,0.05,30462
0.073,0.05,26660
0.026,0.05,6
0.169,0.05,33945
0.121,0.05,30600
0.074,0.05,26902
0.027,0.05,6
0.17,0.05,34004
0.122,0.05,30739
0.075,0.05,26972
0.028,0.05,6
0.171,0.05,34026
0.123,0.05,30839
0.076,0.05,27170
0.029,0.05,6
0.172,0.05,34059
0.124,0.05,30952
0.077,0.05,27362
0.03,0.05,6
0.173,0.05,34125
0.125,0.05,31072
0.078,0.05,27477
0.031,0.05,6
0.174,0.05,34132
0.079,0.05,27541
0.126,0.05,31148
0.032,0.05,6
0.175,0.05,34180
0.08,0.05,27734
0.127,0.05,31210
0.033,0.05,6
0.176,0.05,34226
0.081,0.05,27892
0.128,0.05,31284
0.034,0.05,6
0.177,0.05,34257
0.082,0.05,28021
0.129,0.05,31344
0.035,0.05,6
0.178,0.05,34282
0.036,0.05,6
0.083,0.05,27910
0.13,0.05,31418
0.179,0.05,34311
0.037,0.05,6
0.084,0.05,28149
0.131,0.05,31475
0.18,0.05,34342
0.038,0.05,6
0.132,0.05,31578
0.085,0.05,28177
0.181,0.05,34366
0.039,0.05,6
0.133,0.05,31574
0.086,0.05,28202
0.182,0.05,34384
0.04,0.05,7
0.134,0.05,31634
0.087,0.05,28150
0.183,0.05,34428
0.041,0.05,7
0.135,0.05,31702
0.088,0.05,27791
0.184,0.05,34441
0.042,0.05,6
0.089,0.05,27283
0.136,0.05,31772
0.185,0.05,34474
0.043,0.05,7
0.09,0.05,28513
0.137,0.05,31834
0.186,0.05,34506
0.044,0.05,10
0.091,0.05,28734
0.138,0.05,31867
0.187,0.05,34509
0.045,0.05,8
0.092,0.05,27143
0.139,0.05,32018
0.188,0.05,34551
0.046,0.05,17
0.093,0.05,28666
0.14,0.05,32040
0.189,0.05,34555
0.047,0.05,15
0.094,0.05,27296
0.141,0.05,32112
0.19,0.05,34568
0.048,0.05,20
0.095,0.05,29173
0.142,0.05,32206
0.191,0.05,34597
0.049,0.05,20775
0.096,0.05,28371
0.143,0.05,32287
0.192,0.05,34627
0.05,0.05,20896
0.097,0.05,29457
0.144,0.05,32353
0.051,0.05,20933
0.193,0.05,34634
0.098,0.05,28825
0.145,0.05,32469
0.052,0.05,20937
0.194,0.05,34674
0.099,0.05,28936
0.146,0.05,32501
0.053,0.05,20949
0.195,0.05,34687
0.1,0.05,29810
0.147,0.05,32598
0.054,0.05,20922
0.196,0.05,34741
0.101,0.05,28368
0.148,0.05,32625
0.055,0.05,20940
0.197,0.05,34769
0.102,0.05,28502
0.149,0.05,32678
0.056,0.05,20991
0.198,0.05,34791
0.103,0.05,28606
0.15,0.05,32708
0.057,0.05,21010
0.199,0.05,34818
0.104,0.05,30181
0.151,0.05,32761
0.105,0.05,28792
0.2,0.05,34889
0.152,0.05,32754
0.153,0.05,32790
0.01,0.051,6
0.058,0.051,21011
0.106,0.051,28907
0.154,0.051,32787
0.011,0.051,6
0.059,0.051,21047
0.155,0.051,32822
0.107,0.051,28995
0.012,0.051,6
0.156,0.051,32846
0.06,0.051,21075
0.108,0.051,29041
0.013,0.051,6
0.157,0.051,32854
0.061,0.051,21251
0.109,0.051,29172
0.014,0.051,6
0.158,0.051,32865
0.062,0.051,21218
0.11,0.051,29288
0.015,0.051,6
0.159,0.051,32925
0.063,0.051,21931
0.111,0.051,30557
0.016,0.051,6
0.16,0.051,32974
0.064,0.051,22918
0.112,0.051,29440
0.017,0.051,6
0.065,0.051,25027
0.161,0.051,33186
0.113,0.051,29629
0.018,0.051,6
0.066,0.051,25270
0.162,0.051,33306
0.114,0.051,29753
0.019,0.051,6
0.067,0.051,25502
0.163,0.051,33544
0.115,0.051,29847
0.02,0.051,6
0.068,0.051,25766
0.164,0.051,33669
0.116,0.051,29988
0.021,0.051,6
0.069,0.051,25977
0.165,0.051,33754
0.117,0.051,30092
0.022,0.051,6
0.07,0.051,26188
0.166,0.051,33801
0.118,0.051,30192
0.023,0.051,6
0.071,0.051,26331
0.167,0.051,33861
0.119,0.051,30356
0.024,0.051,6
0.072,0.051,26480
0.168,0.051,33911
