"exc","inh","sum"
0.151,0.0,33336
0.051,0.0,20923
0.0,0.0,6
0.101,0.0,29668
0.152,0.0,33367
0.052,0.0,20921
0.001,0.0,6
0.102,0.0,29793
0.153,0.0,33436
0.053,0.0,20919
0.002,0.0,6
0.103,0.0,29880
0.154,0.0,33492
0.054,0.0,20966
0.003,0.0,6
0.104,0.0,29938
0.155,0.0,33517
0.055,0.0,20966
0.004,0.0,6
0.105,0.0,30090
0.156,0.0,33562
0.056,0.0,20941
0.005,0.0,6
0.106,0.0,30143
0.157,0.0,33618
0.057,0.0,20937
0.006,0.0,6
0.107,0.0,30250
0.158,0.0,33716
0.058,0.0,20986
0.007,0.0,6
0.108,0.0,30346
0.159,0.0,33764
0.059,0.0,20960
0.008,0.0,6
0.109,0.0,30450
0.16,0.0,33852
0.06,0.0,20981
0.009,0.0,6
0.11,0.0,30608
0.161,0.0,33931
0.061,0.0,21019
0.01,0.0,6
0.111,0.0,30729
0.062,0.0,21004
0.162,0.0,34032
0.011,0.0,6
0.112,0.0,30916
0.063,0.0,20926
0.163,0.0,34111
0.012,0.0,6
0.113,0.0,31064
0.064,0.0,21078
0.164,0.0,34193
0.013,0.0,6
0.114,0.0,31245
0.065,0.0,21050
0.165,0.0,34251
0.014,0.0,6
0.115,0.0,31330
0.066,0.0,21020
0.166,0.0,34332
0.015,0.0,6
0.116,0.0,32565
0.067,0.0,21042
0.167,0.0,34406
0.016,0.0,6
0.117,0.0,31711
0.068,0.0,21050
0.168,0.0,34433
0.017,0.0,6
0.118,0.0,31877
0.069,0.0,21134
0.169,0.0,34503
0.018,0.0,6
0.119,0.0,32055
0.07,0.0,21055
0.019,0.0,6
0.17,0.0,34542
0.12,0.0,32214
0.071,0.0,21012
0.02,0.0,6
0.171,0.0,34614
0.121,0.0,32370
0.072,0.0,21304
0.021,0.0,6
0.172,0.0,34644
0.122,0.0,32474
0.073,0.0,21469
0.022,0.0,6
0.173,0.0,34726
0.123,0.0,32547
0.074,0.0,21296
0.023,0.0,6
0.174,0.0,34787
0.124,0.0,32655
0.075,0.0,21387
0.024,0.0,6
0.175,0.0,34822
0.125,0.0,32722
0.076,0.0,22557
0.025,0.0,6
0.176,0.0,34895
0.126,0.0,32752
0.077,0.0,21472
0.026,0.0,6
0.177,0.0,34944
0.127,0.0,32792
0.078,0.0,30036
0.027,0.0,6
0.178,0.0,34990
0.128,0.0,32809
0.079,0.0,30041
0.028,0.0,6
0.179,0.0,35064
0.129,0.0,32833
0.08,0.0,30064
0.029,0.0,6
0.18,0.0,35100
0.13,0.0,32844
0.081,0.0,30010
0.03,0.0,6
0.181,0.0,35181
0.131,0.0,32858
0.082,0.0,30216
0.031,0.0,6
0.182,0.0,35267
0.132,0.0,32863
0.083,0.0,30243
0.032,0.0,6
0.183,0.0,35313
0.133,0.0,32886
0.084,0.0,30383
0.033,0.0,6
0.184,0.0,35356
0.134,0.0,32882
0.085,0.0,30470
0.034,0.0,6
0.185,0.0,35448
0.135,0.0,32906
0.086,0.0,30439
0.035,0.0,6
0.186,0.0,35557
0.136,0.0,32923
0.087,0.0,30646
0.036,0.0,6
0.187,0.0,35611
0.137,0.0,32955
0.037,0.0,6
0.088,0.0,30636
0.188,0.0,35662
0.138,0.0,32948
0.089,0.0,30870
0.038,0.0,7
0.189,0.0,35742
0.139,0.0,32977
0.039,0.0,7
0.09,0.0,31180
0.19,0.0,35820
0.14,0.0,32982
0.04,0.0,8
0.091,0.0,29128
0.191,0.0,35910
0.141,0.0,33027
0.041,0.0,7
0.092,0.0,31395
0.192,0.0,35964
0.142,0.0,33053
0.042,0.0,7
0.093,0.0,29937
0.193,0.0,36024
0.143,0.0,33073
0.043,0.0,13
0.094,0.0,31204
0.194,0.0,36081
0.144,0.0,33117
0.044,0.0,8
0.095,0.0,30774
0.195,0.0,36106
0.145,0.0,33138
0.045,0.0,7
0.096,0.0,30352
0.196,0.0,36151
0.146,0.0,33124
0.046,0.0,9
0.097,0.0,30025
0.197,0.0,36193
0.147,0.0,33198
0.047,0.0,10
0.098,0.0,29474
0.198,0.0,36248
