"exc","inh","means","vars"
0.16,0.05,0.1375618900068931,0.012950638653313954
0.06,0.05,0.6621877243837446,0.3137633716415652
0.01,0.05,NaN,NaN
0.11,0.05,0.13340508446653376,0.01145441652120266
0.165,0.05,0.21645296741026043,0.02635933429309133
0.015,0.05,NaN,NaN
0.065,0.05,0.3909745824636119,0.1277852385450396
0.115,0.05,0.16495725458177765,0.015155631617875054
0.02,0.05,NaN,NaN
0.07,0.05,0.18678289320562963,0.022418598851944464
0.17,0.05,0.14786195810243882,0.011509222792369045
0.12,0.05,0.20971354547678298,0.02336937378605026
0.025,0.05,NaN,NaN
0.075,0.05,0.18139188660588937,0.01788572296652747
0.175,0.05,0.1386615667166184,0.01044746624168086
0.125,0.05,0.1788651380427116,0.017610151877002066
0.03,0.05,NaN,NaN
0.13,0.05,0.11822336665876311,0.00799114524352688
0.18,0.05,0.17701930144543235,0.013417258735101993
0.08,0.05,0.21042629419803838,0.026439072203110783
0.035,0.05,NaN,NaN
0.135,0.05,0.11462892586998816,0.007796039885504463
0.185,0.05,0.21797961869206392,0.015321817894802048
0.085,0.05,0.1615820976352766,0.02790924433272638
0.04,0.05,NaN,NaN
0.14,0.05,0.12242159051846828,0.009291152569726378
0.19,0.05,0.23812488757906017,0.017907673037568485
0.09,0.05,0.3034017384294337,0.05006968245950023
0.145,0.05,0.12586456413346522,0.01058088244334979
0.045,0.05,NaN,NaN
0.195,0.05,0.24782120404538466,0.017509054353810918
0.095,0.05,0.18430583428530847,0.018537080654230948
0.15,0.05,0.09416166809872739,0.006302880494091076
0.05,0.05,0.7140045531914796,0.32997275385816593
0.2,0.05,0.2515480255087309,0.01878617177965116
0.1,0.05,0.13860290310229167,0.011410926643576638
0.105,0.05,0.11831321294319662,0.008791491282882721
0.155,0.05,0.08285700751632605,0.004142083280215735
0.055,0.05,0.8294878527113282,0.4460418856525739
0.06,0.055,0.7180324787993194,0.3459351615389181
0.01,0.055,NaN,NaN
0.11,0.055,0.12618141870749627,0.009588841808713342
0.16,0.055,0.15558925996522105,0.016476302766955744
0.115,0.055,0.1466759566829972,0.012652869475473368
0.065,0.055,0.294827093538966,0.058740134622867334
0.165,0.055,0.20798903580602027,0.024894873337778546
0.015,0.055,NaN,NaN
0.17,0.055,0.14973309638358076,0.012051324747351131
0.02,0.055,NaN,NaN
0.07,0.055,0.19497281966545185,0.022464030204039618
0.12,0.055,0.2094801989798938,0.022135412420195216
0.025,0.055,NaN,NaN
0.175,0.055,0.1405882877073463,0.010196249958435401
0.075,0.055,0.17849107112820037,0.017781103109733413
0.125,0.055,0.19920607109674382,0.022263864161613783
0.03,0.055,NaN,NaN
0.18,0.055,0.17834318048711037,0.01300781409193251
0.08,0.055,0.20818559938864364,0.02662667303462995
0.13,0.055,0.12784673710695219,0.009214343219121355
0.035,0.055,NaN,NaN
0.085,0.055,0.15038247684523412,0.02363402221168232
0.185,0.055,0.2166210198941596,0.014610213620973422
0.135,0.055,0.11333631729882424,0.007282809643607569
0.04,0.055,NaN,NaN
0.19,0.055,0.23885020893523176,0.017949011601635707
0.09,0.055,0.3041294254994159,0.05058088682604613
0.14,0.055,0.12249320116822479,0.00878702682274691
0.045,0.055,0.8201902731859395,0.421941012370455
0.195,0.055,0.24683009492992308,0.017126982304343178
0.145,0.055,0.12654545204238635,0.009948605136602017
0.095,0.055,0.19799851526826134,0.019851466151831705
0.05,0.055,0.7554216236347185,0.40670328615825835
0.2,0.055,0.2483639430814923,0.018615748061681262
0.15,0.055,0.11519009981126338,0.009793068003872559
0.1,0.055,0.14420681808971952,0.011781709916360442
0.155,0.055,0.08685608087184563,0.004439570873805864
0.055,0.055,0.7120899127958042,0.35093433282839326
0.105,0.055,0.11689905462966746,0.008129938105751026
0.11,0.06,0.11212074877889074,0.007399058253092311
0.01,0.06,NaN,NaN
0.16,0.06,0.1635702186462378,0.017811023198635284
0.06,0.06,0.6146693822482101,0.3081221727186888
0.015,0.06,NaN,NaN
0.165,0.06,0.22777829614584372,0.028979910368278194
0.115,0.06,0.14650170304043608,0.012789760597055942
0.065,0.06,0.2604563614141164,0.043293711925622085
0.02,0.06,NaN,NaN
0.17,0.06,0.16081839860685537,0.014068247460870755
0.07,0.06,0.1895169892599986,0.021423318751472315
0.12,0.06,0.2048706611203257,0.023474602624828124
0.075,0.06,0.16721720997145312,0.017217477187283864
0.025,0.06,NaN,NaN
0.175,0.06,0.14253035183971208,0.010641549214914605
0.125,0.06,0.2034902043527404,0.02292505383406917
0.03,0.06,NaN,NaN
0.18,0.06,0.17841238239871965,0.01327731553938198
0.13,0.06,0.13434943339328811,0.010497428313938824
0.08,0.06,0.21776635010709341,0.026131034606255217
0.035,0.06,NaN,NaN
0.185,0.06,0.21925440196919452,0.014832105190117342
0.135,0.06,0.1092566271647871,0.006806603572476163
0.085,0.06,0.1455811654290279,0.02378588188428416
0.04,0.06,NaN,NaN
0.19,0.06,0.23930033226362254,0.01699486520711362
0.14,0.06,0.11483691007910193,0.007919054076263098
0.09,0.06,0.30245192764050405,0.0492622556252046
0.195,0.06,0.24438299842975383,0.01737606085077307
0.045,0.06,NaN,NaN
0.145,0.06,0.12439883208327675,0.009939316399935932
0.095,0.06,0.19805071294506313,0.022350280662614512
0.15,0.06,0.11444150354087447,0.008348006282712612
0.05,0.06,0.5451806795497024,0.2631115054225699
0.2,0.06,0.24436592086771625,0.01750756246091912
0.1,0.06,0.13675550254610233,0.011422881033550963
0.055,0.06,0.5390684356640894,0.21352182265875144
0.155,0.06,0.0952251353397291,0.0055700638655450585
0.105,0.06,0.09579686079268147,0.005464155792592985
0.01,0.065,NaN,NaN
0.16,0.065,0.18425964758585756,0.02319327685813145
0.11,0.065,0.10923492889336003,0.00698236803351896
0.06,0.065,0.4826008282200204,0.20297220203286928
0.015,0.065,NaN,NaN
0.065,0.065,0.2472228503876452,0.036762272916253384
0.115,0.065,0.13173929463444348,0.010437432304419802
0.165,0.065,0.23469129711361814,0.030505884240488033
0.02,0.065,NaN,NaN
0.17,0.065,0.16228236352946615,0.01507893070433843
0.12,0.065,0.19361047225781872,0.020623939795908725
0.07,0.065,0.18950941212702635,0.0209933555737257
0.025,0.065,NaN,NaN
0.175,0.065,0.14968291211949958,0.012092412066787841
0.125,0.065,0.213105952116268,0.0245904440603053
0.075,0.065,0.1618595246979222,0.015083915522624771
0.03,0.065,NaN,NaN
0.18,0.065,0.18151735599020302,0.01402956805745865
0.13,0.065,0.13740303151589478,0.010878059090765977
0.08,0.065,0.23013762553268405,0.02766516737599813
0.035,0.065,NaN,NaN
0.135,0.065,0.10636465762405693,0.006951496235560524
0.085,0.065,0.15235323989114066,0.024886249998486768
0.185,0.065,0.22221116723174278,0.01611370033586663
0.04,0.065,NaN,NaN
