"exc","inh","sum"
0.01,0.0,6
0.058,0.0,20944
0.106,0.0,30129
0.154,0.0,33478
0.011,0.0,6
0.107,0.0,30249
0.155,0.0,33519
0.059,0.0,21026
0.012,0.0,6
0.108,0.0,30369
0.156,0.0,33570
0.06,0.0,20995
0.013,0.0,6
0.109,0.0,30445
0.157,0.0,33634
0.061,0.0,20986
0.014,0.0,6
0.11,0.0,30655
0.158,0.0,33701
0.062,0.0,21067
0.015,0.0,6
0.111,0.0,31142
0.159,0.0,33774
0.063,0.0,20969
0.016,0.0,6
0.112,0.0,30903
0.16,0.0,33866
0.064,0.0,21025
0.017,0.0,6
0.161,0.0,33908
0.113,0.0,31014
0.065,0.0,20962
0.018,0.0,6
0.114,0.0,31162
0.162,0.0,34087
0.066,0.0,20961
0.019,0.0,6
0.163,0.0,34122
0.115,0.0,31436
0.067,0.0,21029
0.02,0.0,6
0.164,0.0,34211
0.116,0.0,31490
0.068,0.0,21083
0.021,0.0,6
0.165,0.0,34244
0.117,0.0,31697
0.069,0.0,21066
0.022,0.0,6
0.166,0.0,34335
0.118,0.0,31885
0.07,0.0,21101
0.023,0.0,6
0.167,0.0,34381
0.119,0.0,32062
0.071,0.0,21251
0.024,0.0,6
0.168,0.0,34443
0.12,0.0,32268
0.072,0.0,21440
0.025,0.0,6
0.121,0.0,32338
0.169,0.0,34519
0.073,0.0,21121
0.026,0.0,6
0.122,0.0,32457
0.17,0.0,34549
0.074,0.0,21188
0.027,0.0,6
0.123,0.0,32607
0.171,0.0,34630
0.075,0.0,21796
0.028,0.0,6
0.124,0.0,32628
0.172,0.0,34662
0.076,0.0,22326
0.029,0.0,6
0.125,0.0,32730
0.173,0.0,34719
0.077,0.0,27075
0.03,0.0,6
0.126,0.0,32765
0.174,0.0,34753
0.078,0.0,27016
0.031,0.0,6
0.127,0.0,32808
0.175,0.0,34849
0.079,0.0,30116
0.032,0.0,6
0.128,0.0,32805
0.176,0.0,34864
0.08,0.0,30220
0.033,0.0,6
0.129,0.0,32843
0.177,0.0,34931
0.081,0.0,29999
0.034,0.0,6
0.13,0.0,32850
0.178,0.0,35013
0.082,0.0,30212
0.035,0.0,6
0.131,0.0,32860
0.179,0.0,35090
0.083,0.0,30123
0.036,0.0,6
0.132,0.0,32870
0.18,0.0,35120
0.084,0.0,30041
0.037,0.0,6
0.133,0.0,32883
0.181,0.0,35182
0.085,0.0,30529
0.038,0.0,6
0.134,0.0,32887
0.182,0.0,35235
0.086,0.0,30178
0.039,0.0,6
0.135,0.0,32907
0.183,0.0,35333
0.087,0.0,30616
0.04,0.0,6
0.136,0.0,32925
0.184,0.0,35361
0.088,0.0,30405
0.041,0.0,8
0.137,0.0,32936
0.185,0.0,35438
0.089,0.0,30796
0.042,0.0,8
0.138,0.0,32958
0.186,0.0,35515
0.09,0.0,31112
0.043,0.0,12
0.139,0.0,32971
0.187,0.0,35573
0.091,0.0,31013
0.044,0.0,7
0.14,0.0,32984
0.188,0.0,35693
0.092,0.0,30554
0.045,0.0,9
0.141,0.0,33015
0.189,0.0,35727
0.093,0.0,31093
0.046,0.0,20838
0.142,0.0,33032
0.19,0.0,35807
0.094,0.0,31528
0.047,0.0,20919
0.143,0.0,33060
0.191,0.0,35869
0.095,0.0,31230
0.048,0.0,20918
0.144,0.0,33085
0.192,0.0,35965
0.096,0.0,29281
0.049,0.0,20918
0.145,0.0,33133
0.193,0.0,36000
0.097,0.0,29401
0.05,0.0,20859
0.146,0.0,33145
0.194,0.0,36062
0.098,0.0,29480
0.051,0.0,20978
0.147,0.0,33190
0.195,0.0,36124
0.099,0.0,29585
0.052,0.0,20927
0.148,0.0,33219
0.196,0.0,36159
0.1,0.0,29671
0.053,0.0,20960
0.149,0.0,33261
0.197,0.0,36205
0.101,0.0,29684
0.054,0.0,20917
0.15,0.0,33271
0.198,0.0,36244
0.055,0.0,20904
0.151,0.0,33318
0.102,0.0,29725
0.199,0.0,36271
0.056,0.0,20944
0.152,0.0,33388
0.103,0.0,29875
0.2,0.0,36310
0.057,0.0,20989
0.153,0.0,33449
0.104,0.0,29980
0.105,0.0,30259
0.154,0.001,33441
0.058,0.001,20976
0.01,0.001,6
0.106,0.001,30154
0.155,0.001,33487
0.059,0.001,20982
0.011,0.001,6
0.107,0.001,30242
0.156,0.001,33527
0.06,0.001,20960
0.012,0.001,6
0.108,0.001,30281
0.061,0.001,21017
0.157,0.001,33606
0.013,0.001,6
0.109,0.001,30454
0.062,0.001,21003
0.158,0.001,33673
0.014,0.001,6
0.11,0.001,30594
0.159,0.001,33775
0.063,0.001,21000
0.015,0.001,6
0.111,0.001,30719
0.16,0.001,33838
0.016,0.001,6
0.064,0.001,21002
0.112,0.001,30870
0.161,0.001,33899
0.065,0.001,20996
0.017,0.001,6
