"exc","inh","sum"
0.01,0.05,6
0.058,0.05,146604
0.106,0.05,205244
0.154,0.05,207394
0.011,0.05,6
0.059,0.05,146932
0.155,0.05,206568
0.107,0.05,205242
0.012,0.05,6
0.06,0.05,148170
0.156,0.05,206524
0.108,0.05,201528
0.013,0.05,6
0.061,0.05,180270
0.157,0.05,208738
0.109,0.05,204894
0.014,0.05,6
0.062,0.05,150390
0.158,0.05,206630
0.11,0.05,205300
0.015,0.05,6
0.063,0.05,150020
0.159,0.05,208672
0.111,0.05,205648
0.016,0.05,6
0.064,0.05,180402
0.16,0.05,208054
0.112,0.05,205658
0.017,0.05,6
0.065,0.05,181220
0.161,0.05,206974
0.113,0.05,205658
0.018,0.05,6
0.066,0.05,181660
0.162,0.05,212094
0.114,0.05,205692
0.019,0.05,6
0.067,0.05,181494
0.163,0.05,206938
0.02,0.05,6
0.115,0.05,205682
0.068,0.05,181678
0.164,0.05,212536
0.021,0.05,6
0.116,0.05,205660
0.069,0.05,185840
0.022,0.05,6
0.165,0.05,212688
0.117,0.05,205658
0.07,0.05,185440
0.023,0.05,6
0.118,0.05,205712
0.166,0.05,212600
0.071,0.05,181792
0.024,0.05,6
0.119,0.05,205722
0.167,0.05,212624
0.072,0.05,182070
0.025,0.05,6
0.12,0.05,205750
0.168,0.05,212740
0.073,0.05,187188
0.026,0.05,6
0.121,0.05,205694
0.169,0.05,212768
0.074,0.05,187226
0.027,0.05,6
0.122,0.05,205750
0.17,0.05,212768
0.075,0.05,187332
0.028,0.05,6
0.123,0.05,205768
0.076,0.05,187206
0.171,0.05,212746
0.029,0.05,6
0.124,0.05,205776
0.077,0.05,187254
0.172,0.05,212746
0.03,0.05,6
0.125,0.05,205778
0.078,0.05,187200
0.173,0.05,212668
0.031,0.05,6
0.126,0.05,205788
0.079,0.05,187386
0.174,0.05,212762
0.032,0.05,6
0.08,0.05,187244
0.127,0.05,205848
0.033,0.05,6
0.175,0.05,212762
0.081,0.05,187172
0.128,0.05,205812
0.034,0.05,6
0.176,0.05,212762
0.082,0.05,187216
0.129,0.05,205822
0.035,0.05,6
0.177,0.05,212762
0.083,0.05,187440
0.13,0.05,205826
0.036,0.05,6
0.178,0.05,212764
0.084,0.05,189678
0.131,0.05,205832
0.037,0.05,6
0.179,0.05,212764
0.085,0.05,187364
0.132,0.05,206140
0.038,0.05,6
0.18,0.05,212764
0.086,0.05,187588
0.133,0.05,206464
0.039,0.05,6
0.087,0.05,187696
0.181,0.05,212764
0.04,0.05,6
0.134,0.05,206154
0.088,0.05,187654
0.182,0.05,212700
0.041,0.05,6
0.135,0.05,206174
0.089,0.05,188036
0.183,0.05,212106
0.042,0.05,6
0.136,0.05,206230
0.09,0.05,203230
0.184,0.05,212772
0.043,0.05,6
0.137,0.05,206086
0.091,0.05,189804
0.185,0.05,212754
0.044,0.05,6
0.138,0.05,206632
0.092,0.05,203312
0.186,0.05,212758
0.045,0.05,6
0.139,0.05,206648
0.093,0.05,192602
0.187,0.05,212750
0.046,0.05,6
0.14,0.05,206466
0.094,0.05,191582
0.188,0.05,212790
0.047,0.05,6
0.141,0.05,206552
0.095,0.05,203648
0.189,0.05,212790
0.048,0.05,26380
0.142,0.05,206516
0.096,0.05,202190
0.049,0.05,26598
0.19,0.05,212796
