"exc","inh","sum"
0.0,0.0,6
0.051,0.0,173269
0.101,0.0,204594
0.151,0.0,207410
0.001,0.0,6
0.052,0.0,173275
0.102,0.0,203258
0.152,0.0,208029
0.002,0.0,6
0.053,0.0,173352
0.103,0.0,204638
0.153,0.0,208202
0.003,0.0,6
0.104,0.0,204723
0.054,0.0,174318
0.154,0.0,208206
0.004,0.0,6
0.105,0.0,204925
0.055,0.0,176195
0.155,0.0,208262
0.005,0.0,6
0.156,0.0,208480
0.056,0.0,177910
0.106,0.0,205025
0.006,0.0,6
0.007,0.0,6
0.057,0.0,178383
0.157,0.0,208381
0.107,0.0,205050
0.008,0.0,6
0.058,0.0,179665
0.108,0.0,204970
0.158,0.0,208497
0.009,0.0,6
0.109,0.0,205158
0.059,0.0,181141
0.159,0.0,208707
0.01,0.0,6
0.11,0.0,204988
0.06,0.0,179406
0.16,0.0,209227
0.011,0.0,6
0.111,0.0,205146
0.061,0.0,181892
0.161,0.0,208833
0.012,0.0,6
0.112,0.0,205245
0.062,0.0,181980
0.162,0.0,209221
0.013,0.0,6
0.113,0.0,205321
0.063,0.0,180607
0.163,0.0,209161
0.014,0.0,6
0.114,0.0,205455
0.064,0.0,180985
0.164,0.0,209046
0.015,0.0,6
0.115,0.0,205527
0.065,0.0,182046
0.016,0.0,6
0.165,0.0,209803
0.116,0.0,205521
0.017,0.0,6
0.066,0.0,182055
0.166,0.0,210188
0.018,0.0,6
0.117,0.0,205514
0.067,0.0,182121
0.167,0.0,209604
0.019,0.0,6
0.118,0.0,205573
0.068,0.0,182184
0.168,0.0,210209
0.02,0.0,6
0.119,0.0,205694
0.069,0.0,182126
0.169,0.0,210010
0.021,0.0,6
0.12,0.0,205633
0.07,0.0,182136
0.17,0.0,210714
0.022,0.0,6
0.071,0.0,182131
0.121,0.0,205719
0.171,0.0,210155
0.023,0.0,6
0.072,0.0,182127
0.122,0.0,205710
0.172,0.0,211221
0.024,0.0,6
0.073,0.0,182135
0.123,0.0,205772
0.173,0.0,210866
0.025,0.0,6
0.074,0.0,182183
0.124,0.0,205825
0.026,0.0,6
0.174,0.0,210625
0.075,0.0,182214
0.125,0.0,205838
0.027,0.0,6
0.175,0.0,211163
0.076,0.0,182210
0.126,0.0,205835
0.028,0.0,6
0.176,0.0,211265
0.077,0.0,182579
0.029,0.0,6
0.127,0.0,205860
0.177,0.0,211285
0.078,0.0,183441
0.03,0.0,6
0.128,0.0,205893
0.178,0.0,212217
0.031,0.0,6
0.079,0.0,184132
0.129,0.0,205908
0.179,0.0,212129
0.032,0.0,6
0.08,0.0,184786
0.13,0.0,205888
0.18,0.0,212628
0.033,0.0,6
0.081,0.0,185150
0.131,0.0,205955
0.181,0.0,212717
0.034,0.0,6
0.082,0.0,185550
0.132,0.0,206067
0.035,0.0,6
0.182,0.0,212749
0.083,0.0,186128
0.133,0.0,206460
0.036,0.0,6
0.183,0.0,212789
0.084,0.0,186787
0.134,0.0,206076
0.037,0.0,6
0.184,0.0,212755
0.085,0.0,187362
0.135,0.0,206662
0.038,0.0,6
0.185,0.0,212777
0.086,0.0,187466
0.136,0.0,206833
0.039,0.0,6
0.186,0.0,212773
0.087,0.0,187603
0.04,0.0,6
0.137,0.0,206667
0.187,0.0,212721
0.088,0.0,187513
0.041,0.0,6
0.138,0.0,206459
0.188,0.0,212737
0.089,0.0,187708
0.042,0.0,6
0.139,0.0,206989
0.09,0.0,187621
0.189,0.0,212753
0.043,0.0,6
0.14,0.0,207031
0.091,0.0,187763
0.19,0.0,212763
0.044,0.0,6
0.141,0.0,207070
0.092,0.0,187751
0.045,0.0,6
0.191,0.0,212748
0.142,0.0,207056
0.093,0.0,188135
0.046,0.0,8
0.192,0.0,212760
0.143,0.0,207266
0.047,0.0,8
0.094,0.0,187797
0.193,0.0,212790
0.144,0.0,207340
0.048,0.0,9
0.095,0.0,193864
0.194,0.0,212790
0.145,0.0,207359
0.049,0.0,173194
0.096,0.0,200562
0.195,0.0,212795
0.146,0.0,207307
0.05,0.0,173187
0.097,0.0,204808
0.196,0.0,212783
0.197,0.0,212788
0.147,0.0,207608
0.098,0.0,204947
0.198,0.0,212797
0.148,0.0,207821
0.199,0.0,212790
0.099,0.0,204204
0.2,0.0,212794
0.149,0.0,207758
0.1,0.0,193627
0.15,0.0,207779
0.0,0.001,6
0.051,0.001,173250
0.101,0.001,204516
0.151,0.001,207960
0.001,0.001,6
0.052,0.001,173322
0.102,0.001,204737
0.152,0.001,208411
0.002,0.001,6
0.053,0.001,173411
